name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
res_10559391-s-a,true,1,2,60,ld_10559391.1,0.24,10.43686589850947,2.615725158375565,4.44760894736842,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10558483-s-b,true,1,2,60,ld_10558483.2,0.24,10.60587806300631,2.658083599601588,4.491412631578945,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34092313-s-c,true,1,2,60,ld_34092313.3,0.24,2.729497024259994,0.6840764368820476,1.15884789473684,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34085491-s-b,true,1,2,60,ld_34085491.2,0.24,19.15741816467368,4.801301573685495,8.11284736842105,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34054972-s-c,true,1,2,60,ld_34054972.3,0.24,7.845775908839997,1.96633679413861,3.33103894736842,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10559275-s-a,true,1,2,60,ld_10559275.1,0.24,7.436778748294736,1.863832443412479,3.16913947368421,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34085468-s-c,true,1,2,60,ld_34085468.3,0.24,7.14669816402,1.791131396026973,3.034235263157895,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10549020-s-c,true,1,2,60,ld_10549020.3,0.24,6.839908346879995,1.714242620140607,2.903983157894735,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10548907-s-b,true,1,2,60,ld_10548907.2,0.24,19.24867882374736,4.824173650823426,8.1514947368421,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10555985-s-c,true,1,2,60,ld_10555985.3,0.24,13.35219191100004,3.346374729797899,5.66886842105265,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10548988-s-b,true,1,2,60,ld_10548988.2,0.24,16.30847738568425,4.08728971008677,6.90636842105265,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10543795-s-c,true,1,2,60,ld_10543795.3,0.24,15.37686660600006,3.853806039995556,6.52847368421055,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34086801-s-c,true,1,2,60,ld_34086801.3,0.24,0.5719084633800002,0.1433337718907187,0.242812105263158,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34085286-s-b,true,1,2,60,ld_34085286.2,0.24,14.79153458248426,3.707108006811876,6.26396842105265,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10574854-s-c,true,1,2,60,ld_10574854.3,0.24,6.673219944299994,1.672466568548317,2.833213157894735,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10548982-s-a,true,1,2,60,ld_10548982.1,0.24,30.53348104623161,7.652411683934509,13.01166315789475,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34086794-s-b,true,1,2,60,ld_34086794.2,0.24,1.385415848425264,0.3472179411690756,0.5867005263157899,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34085048-s-c,true,1,2,60,ld_34085048.3,0.24,10.19394236016,2.554842780753654,4.327987368421055,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_20350796-s-b,true,1,2,60,ld_20350796.2,0.24,25.61425582610529,6.41953763025546,10.8472105263158,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10548968-s-a,true,1,2,60,ld_10548968.1,0.24,11.55033281118316,2.894786271627513,4.922106315789475,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10532911-s-c,true,1,2,60,ld_10532911.3,0.24,9.831918252059998,2.464110986678298,4.174284736842104,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34097398-s-c,true,1,2,60,ld_34097398.3,0.24,14.76741256020005,3.701062458160273,6.2697210526316,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34085042-s-a,true,1,2,60,ld_34085042.1,0.24,15.62631742383161,3.916324308058437,6.65906315789475,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_20344333-s-a,true,1,2,60,ld_20344333.1,0.24,10.81166497859369,2.709658662230618,4.607327368421056,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10560618-s-c,true,1,2,60,ld_10560618.3,0.24,12.26163945546004,3.073056520842889,5.205858421052651,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10549285-s-b,true,1,2,60,ld_10549285.2,0.24,13.57759257844207,3.40286546200391,5.749884210526301,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
com_10526890-s-a,true,3,4,60,ld_10526890.1.2.3,0.48,1.89972283776,0.8092785400389689,0.8507400000000001,0.92,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_ABC,,,defaultload
res_34097392-s-c,true,1,2,60,ld_34097392.3,0.24,4.936080667320001,1.237098426944827,2.095685263157895,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34085036-s-a,true,1,2,60,ld_34085036.1,0.24,13.77422590585265,3.452146419188231,5.8698052631579,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_20251419-s-c,true,1,2,60,ld_20251419.3,0.24,11.50619684976,2.883724757011315,4.885124210526315,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10560337-s-b,true,1,2,60,ld_10560337.2,0.24,4.82798217176,1.210006390200423,2.04457,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10558551-s-a,true,1,2,60,ld_10558551.1,0.24,13.19469623242103,3.306902592012419,5.62284210526315,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10524061-s-c,true,1,2,60,ld_10524061.3,0.24,0.7695933246000002,0.1928782682894876,0.3267421052631581,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34096115-s-b,true,1,2,60,ld_34096115.2,0.24,0.80685583192,0.2022171329265236,0.34169,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34086318-s-b,true,1,2,60,ld_34086318.2,0.24,8.721180778787367,2.185733935421497,3.693274736842105,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34084954-s-b,true,1,2,60,ld_34084954.2,0.24,1.752951592197897,0.4393310813528206,0.742345789473685,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10558545-s-b,true,1,2,60,ld_10558545.2,0.24,3.919307880155793,0.9822711458817555,1.65976157894737,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10549263-s-a,true,1,2,60,ld_10549263.1,0.24,8.967726126416839,2.247524024011881,3.821543684210525,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34095665-s-b,true,1,2,60,ld_34095665.2,0.24,9.614188015124208,2.409542645566111,4.07144842105263,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34086306-s-a,true,1,2,60,ld_34086306.1,0.24,11.94230794388207,2.993024500040945,5.089144210526301,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34084664-s-b,true,1,2,60,ld_34084664.2,0.24,12.68484633541058,3.179122162947415,5.371821052631601,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_20014991-s-c,true,1,2,60,ld_20014991.3,0.24,1.898329787459997,0.4757662915513744,0.805963684210525,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10559587-s-c,true,1,2,60,ld_10559587.3,0.24,32.5513517814,8.15813776105921,13.82015263157895,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10549255-s-c,true,1,2,60,ld_10549255.3,0.24,22.21909559639998,5.56863026822596,9.433442105263151,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10548940-s-b,true,1,2,60,ld_10548940.2,0.24,12.3584878782569,3.097329023577153,5.233613684210551,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34095659-s-c,true,1,2,60,ld_34095659.3,0.24,8.102542965659994,2.030688684533411,3.440053157894735,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34086300-s-c,true,1,2,60,ld_34086300.3,0.24,9.875414202480004,2.475012099417258,4.192751578947371,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10580378-s-b,true,1,2,60,ld_10580378.2,0.24,4.117303615654736,1.031893554719031,1.74360947368421,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
